OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,isPurebred,Breed 1,Breed 2,Color 1,Color 2
Adoption,Dog,Spayed Female,1 year,0,Boxer Mix,Boxer Mix,White,White
Transfer,Cat,Intact Female,2 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Return_to_owner,Dog,Neutered Male,8 months,0,Labrador Retriever Mix,Labrador Retriever Mix,Black,White
Adoption,Dog,Neutered Male,2 months,0,German Shepherd,Labrador Retriever,Sable,Sable
Adoption,Cat,Neutered Male,2 months,0,Domestic Longhair Mix,Domestic Longhair Mix,Brown Tabby,White
Transfer,Cat,Intact Female,1 year,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Black,Black
Transfer,Dog,Intact Female,2 months,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black,Black
Transfer,Dog,Intact Male,10 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Buff,Buff
Return_to_owner,Dog,Neutered Male,2 years,0,Australian Cattle Dog Mix,Australian Cattle Dog Mix,Blue,White
Return_to_owner,Dog,Neutered Male,7 years,0,Papillon Mix,Papillon Mix,Black,Black
Return_to_owner,Dog,Neutered Male,5 years,0,German Shorthair Pointer Mix,German Shorthair Pointer Mix,Chocolate,Chocolate
Euthanasia,Dog,Intact Male,3 years,0,Pit Bull Mix,Pit Bull Mix,Brown Brindle,Brown Brindle
Adoption,Dog,Neutered Male,2 years,0,Miniature Schnauzer Mix,Miniature Schnauzer Mix,Gray,White
Adoption,Dog,Neutered Male,1 year,0,Labrador Retriever Mix,Labrador Retriever Mix,Black,Black
Adoption,Dog,Intact Male,1 year,0,Cairn Terrier Mix,Cairn Terrier Mix,Black,Tan
Transfer,Cat,Intact Male,2 years,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Orange Tabby,Orange Tabby
Adoption,Dog,Spayed Female,1 year,0,Pit Bull Mix,Pit Bull Mix,Brown,White
Adoption,Cat,Spayed Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,Blue
Transfer,Dog,Neutered Male,5 years,1,Great Pyrenees,Great Pyrenees,White,White
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Orange Tabby
Adoption,Cat,Spayed Female,3 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Transfer,Cat,Intact Male,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Transfer,Dog,Neutered Male,10 years,0,Boxer Mix,Boxer Mix,Black,Red
Transfer,Cat,Intact Female,1 month,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Transfer,Cat,Intact Male,4 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,White
Adoption,Dog,Spayed Female,1 year,0,Chihuahua Longhair Mix,Chihuahua Longhair Mix,Tricolor,Tricolor
Euthanasia,Cat,Spayed Female,2 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Return_to_owner,Dog,Neutered Male,1 year,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black,Tan
Euthanasia,Cat,Intact Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Torbie,Torbie
Transfer,Cat,Unknown,1 week,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,Blue
Adoption,Dog,Spayed Female,2 months,0,Vizsla Mix,Vizsla Mix,Red,White
Return_to_owner,Dog,Neutered Male,3 years,0,Labrador Retriever Mix,Labrador Retriever Mix,Cream,Cream
Adoption,Cat,Spayed Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Return_to_owner,Dog,Neutered Male,10 years,0,Chihuahua Shorthair,Dachshund,Tan,White
Adoption,Dog,Neutered Male,2 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Brown,White
Adoption,Dog,Neutered Male,2 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black,Tan
Adoption,Dog,Neutered Male,2 months,1,Shih Tzu,Shih Tzu,Chocolate,White
Transfer,Cat,Intact Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Tortie
Euthanasia,Dog,Unknown,4 years,0,Rat Terrier Mix,Rat Terrier Mix,Tricolor,White
Return_to_owner,Cat,Neutered Male,7 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Return_to_owner,Dog,Spayed Female,4 years,0,Weimaraner Mix,Weimaraner Mix,Fawn,White
Adoption,Cat,Neutered Male,5 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Blue Tabby
Adoption,Cat,Neutered Male,4 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Transfer,Cat,Intact Male,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,White,White
Adoption,Dog,Neutered Male,3 months,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Tan
Adoption,Dog,Spayed Female,6 months,0,Labrador Retriever,Pointer,Black,White
Adoption,Cat,Spayed Female,9 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Gray Tabby,White
Adoption,Cat,Intact Female,1 month,0,Siamese Mix,Siamese Mix,Seal Point,Seal Point
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Return_to_owner,Dog,Intact Male,1 year,0,Dachshund Mix,Dachshund Mix,Brown,Brown
Return_to_owner,Cat,Spayed Female,4 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Adoption,Dog,Spayed Female,1 year,0,Labrador Retriever,Pit Bull,Black,White
Return_to_owner,Dog,Intact Male,2 years,0,Chihuahua Shorthair,Dachshund,Black,Tan
Transfer,Cat,Unknown,2 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Tortie
Adoption,Dog,Neutered Male,14 years,0,Miniature Poodle,Shih Tzu,Black,White
Transfer,Cat,Intact Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,White
Transfer,Cat,Neutered Male,8 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Adoption,Cat,Neutered Male,5 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Orange Tabby
Adoption,Cat,Spayed Female,2 years,0,Domestic Longhair Mix,Domestic Longhair Mix,Calico,Calico
Transfer,Cat,Intact Female,3 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Euthanasia,Dog,Intact Male,2 years,0,Pit Bull Mix,Pit Bull Mix,Black,Black
Adoption,Dog,Spayed Female,5 years,0,Pit Bull Mix,Pit Bull Mix,Black,White
Transfer,Cat,Intact Male,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Adoption,Cat,Spayed Female,7 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Torbie,Torbie
Adoption,Dog,Spayed Female,2 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Brown,White
Adoption,Cat,Spayed Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Tortie
Transfer,Cat,Intact Male,1 month,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,White
Transfer,Cat,Intact Female,7 months,0,Snowshoe Mix,Snowshoe Mix,Calico Point,Calico Point
Adoption,Dog,Neutered Male,2 months,0,Standard Poodle Mix,Standard Poodle Mix,Black,White
Return_to_owner,Cat,Neutered Male,1 year,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Orange Tabby,White
Return_to_owner,Dog,Neutered Male,3 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,White
Adoption,Dog,Neutered Male,2 months,0,Australian Cattle Dog Mix,Australian Cattle Dog Mix,Brown,White
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Adoption,Dog,Spayed Female,12 years,1,Rat Terrier,Rat Terrier,Tricolor,Tricolor
Transfer,Cat,Intact Female,4 weeks,0,Siamese Mix,Siamese Mix,Chocolate Point,Chocolate Point
Return_to_owner,Dog,Intact Female,3 years,0,Pit Bull Mix,Pit Bull Mix,Blue,Blue
Adoption,Dog,Spayed Female,5 months,0,Flat Coat Retriever,Labrador Retriever,Black,Black
Transfer,Dog,Neutered Male,1 year,0,Pit Bull Mix,Pit Bull Mix,Brown,Brown
Transfer,Cat,Unknown,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,White
Adoption,Dog,Spayed Female,2 years,1,German Shepherd,German Shepherd,White,White
Adoption,Dog,Spayed Female,1 year,0,Labrador Retriever Mix,Labrador Retriever Mix,Black,Black
Adoption,Dog,Spayed Female,1 year,0,German Shepherd Mix,German Shepherd Mix,Black,Tan
Transfer,Cat,Intact Male,4 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Adoption,Dog,Spayed Female,8 years,0,Carolina Dog Mix,Carolina Dog Mix,Red,Red
Return_to_owner,Dog,Neutered Male,4 years,0,German Shepherd Mix,German Shepherd Mix,Black,Tan
Adoption,Cat,Spayed Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Tortie
Died,Cat,Intact Male,4 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Blue Tabby
Euthanasia,Cat,Unknown,3 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Adoption,Cat,Spayed Female,2 years,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Black,Black
Transfer,Dog,Intact Male,2 months,0,Cardigan Welsh Corgi Mix,Cardigan Welsh Corgi Mix,Sable,Sable
Adoption,Cat,Spayed Female,3 months,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Black,White
Return_to_owner,Dog,Spayed Female,6 years,0,Shiba Inu Mix,Shiba Inu Mix,Red,Red
Adoption,Dog,Neutered Male,1 year,0,Labrador Retriever Mix,Labrador Retriever Mix,Black,White
Euthanasia,Dog,Intact Male,10 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Brown,Brown
Transfer,Cat,Intact Female,10 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Adoption,Dog,Spayed Female,3 years,1,Bichon Frise,Bichon Frise,White,White
Adoption,Dog,Neutered Male,1 month,0,Labrador Retriever Mix,Labrador Retriever Mix,Black,Black
Adoption,Cat,Spayed Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Blue Tabby
Return_to_owner,Dog,Neutered Male,1 year,0,Pit Bull Mix,Pit Bull Mix,Brown,White
Return_to_owner,Dog,Neutered Male,2 years,1,Siberian Husky,Siberian Husky,Red,White
Adoption,Dog,Neutered Male,8 years,0,German Shepherd Mix,German Shepherd Mix,Black,Tan
Transfer,Cat,Neutered Male,4 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,White
Return_to_owner,Dog,Spayed Female,3 years,0,Dachshund Mix,Dachshund Mix,Black,Red
Return_to_owner,Dog,Neutered Male,3 years,0,Border Collie Mix,Border Collie Mix,Black,White
Adoption,Cat,Spayed Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Adoption,Dog,Spayed Female,2 months,0,Border Collie Mix,Border Collie Mix,Black,White
Euthanasia,Cat,Unknown,4 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Return_to_owner,Dog,Neutered Male,10 years,0,Miniature Pinscher Mix,Miniature Pinscher Mix,Chocolate,Tan
Adoption,Dog,Spayed Female,2 months,0,Basset Hound,Pointer,Black,White
Adoption,Cat,Neutered Male,4 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,White
Transfer,Dog,Intact Male,1 month,0,Australian Kelpie Mix,Australian Kelpie Mix,Sable,White
Transfer,Cat,Intact Female,6 years,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Brown Tabby,Brown Tabby
Transfer,Cat,Intact Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Transfer,Dog,Neutered Male,2 years,0,Chihuahua Shorthair,Rat Terrier,Tricolor,Tricolor
Transfer,Cat,Unknown,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Adoption,Dog,Neutered Male,5 years,1,Alaskan Husky,Alaskan Husky,Black,White
Transfer,Dog,Intact Male,1 month,0,Jack Russell Terrier Mix,Jack Russell Terrier Mix,Sable,Sable
Return_to_owner,Dog,Neutered Male,4 years,0,Toy Poodle Mix,Toy Poodle Mix,Black,Black
Return_to_owner,Dog,Neutered Male,4 years,0,Manchester Terrier Mix,Manchester Terrier Mix,Tricolor,Tricolor
Return_to_owner,Dog,Spayed Female,2 years,0,Dachshund Mix,Dachshund Mix,Brown Brindle,Brown Brindle
Transfer,Cat,Intact Male,4 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,Blue
Adoption,Cat,Spayed Female,3 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Tortie
Transfer,Cat,Unknown,7 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Return_to_owner,Dog,Neutered Male,7 months,0,Labrador Retriever Mix,Labrador Retriever Mix,Tricolor,White
Transfer,Cat,Spayed Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Calico
Return_to_owner,Dog,Neutered Male,5 years,0,Miniature Schnauzer Mix,Miniature Schnauzer Mix,Black,Black
Adoption,Dog,Spayed Female,2 months,0,Border Collie,Labrador Retriever,Black,White
Adoption,Dog,Neutered Male,1 year,1,Chinese Sharpei,Chinese Sharpei,Brown,Brown
Adoption,Cat,Neutered Male,6 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Blue Tabby
Adoption,Dog,Spayed Female,2 months,0,Labrador Retriever Mix,Labrador Retriever Mix,Tan,White
Adoption,Dog,Spayed Female,3 months,0,Dachshund Mix,Dachshund Mix,Black,Brown
Transfer,Cat,Intact Female,2 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Tortie
Transfer,Cat,Intact Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Transfer,Cat,Intact Male,2 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Adoption,Cat,Neutered Male,3 years,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Brown Tabby,White
Return_to_owner,Dog,Neutered Male,2 years,0,Chow Chow Mix,Chow Chow Mix,Buff,Buff
Adoption,Dog,Spayed Female,2 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black,White
Adoption,Dog,Spayed Female,2 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Brown Brindle,White
Return_to_owner,Cat,Spayed Female,3 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Return_to_owner,Dog,Spayed Female,9 months,0,Labrador Retriever Mix,Labrador Retriever Mix,Black,Brown
Adoption,Dog,Spayed Female,1 month,0,Australian Shepherd,Labrador Retriever,Black,White
Adoption,Dog,Neutered Male,1 month,0,Labrador Retriever Mix,Labrador Retriever Mix,Black,Black
Died,Cat,Intact Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Blue Tabby
Transfer,Dog,Neutered Male,7 years,0,Smooth Fox Terrier Mix,Smooth Fox Terrier Mix,Tricolor,Tricolor
Transfer,Dog,Spayed Female,11 months,0,Basset Hound Mix,Basset Hound Mix,Brown,White
Adoption,Dog,Neutered Male,10 months,0,Pit Bull Mix,Pit Bull Mix,Black Brindle,White
Adoption,Dog,Spayed Female,1 year,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Tan
Transfer,Dog,Intact Male,3 weeks,1,Chihuahua Shorthair,Chihuahua Shorthair,Cream,White
Return_to_owner,Cat,Spayed Female,4 years,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Tortie,Tortie
Adoption,Cat,Neutered Male,1 month,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,White
Transfer,Dog,Spayed Female,5 years,0,Siberian Husky Mix,Siberian Husky Mix,Sable,Sable
Return_to_owner,Dog,Neutered Male,4 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Chocolate,Tan
Adoption,Dog,Neutered Male,3 years,1,Staffordshire,Staffordshire,Red,White
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,White
Return_to_owner,Dog,Neutered Male,12 years,0,Rottweiler Mix,Rottweiler Mix,Black,Brown
Transfer,Cat,Intact Female,4 months,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Blue,Blue
Adoption,Dog,Neutered Male,2 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Cream,White
Return_to_owner,Dog,Neutered Male,1 year,0,German Shepherd Mix,German Shepherd Mix,Brown,Tan
Adoption,Dog,Spayed Female,5 years,0,Border Collie Mix,Border Collie Mix,Black,White
Transfer,Dog,Intact Female,2 weeks,0,Labrador Retriever Mix,Labrador Retriever Mix,Brown Merle,Brown Merle
Euthanasia,Cat,Intact Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Transfer,Cat,Intact Female,1 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Transfer,Cat,Intact Male,3 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Adoption,Dog,Neutered Male,2 months,0,Labrador Retriever Mix,Labrador Retriever Mix,Black,White
Adoption,Dog,Neutered Male,4 months,0,Cairn Terrier Mix,Cairn Terrier Mix,Tan,White
Euthanasia,Dog,Intact Female,1 year,0,Australian Kelpie Mix,Australian Kelpie Mix,Brown,White
Transfer,Cat,Intact Female,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Adoption,Cat,Neutered Male,2 years,0,Siamese Mix,Siamese Mix,Lynx Point,Lynx Point
Transfer,Dog,Neutered Male,1 year,0,Catahoula Mix,Catahoula Mix,Fawn,White
Adoption,Dog,Neutered Male,2 years,0,Chihuahua Shorthair,Pug,Chocolate,Tan
Adoption,Dog,Neutered Male,4 years,1,Boxer,Boxer,Black,Brown
Transfer,Cat,Unknown,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Adoption,Cat,Spayed Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Transfer,Cat,Unknown,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Transfer,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Return_to_owner,Dog,Neutered Male,4 years,0,Dachshund Mix,Dachshund Mix,Red,Red
Transfer,Cat,Unknown,3 days,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Black,Black
Euthanasia,Dog,Intact Female,8 years,0,Chinese Sharpei Mix,Chinese Sharpei Mix,Brown,Brown
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Orange Tabby
Return_to_owner,Dog,Intact Female,10 years,0,Miniature Poodle Mix,Miniature Poodle Mix,White,White
Euthanasia,Cat,Unknown,1 month,0,Siamese Mix,Siamese Mix,Lynx Point,Lynx Point
Euthanasia,Cat,Neutered Male,8 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Transfer,Cat,Intact Female,7 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Transfer,Cat,Intact Female,4 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Tortie
Adoption,Cat,Spayed Female,2 months,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Cream Tabby,White
Transfer,Dog,Neutered Male,1 year,0,Dachshund Mix,Dachshund Mix,Tan,White
Adoption,Dog,Spayed Female,4 years,0,English Bulldog Mix,English Bulldog Mix,Brown Brindle,White
Transfer,Cat,Intact Male,1 day,0,Domestic Shorthair Mix,Domestic Shorthair Mix,White,White
Adoption,Cat,Intact Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Calico
Adoption,Dog,Spayed Female,8 months,0,German Shepherd Mix,German Shepherd Mix,Black,Tan
Return_to_owner,Dog,Spayed Female,8 months,0,German Shepherd Mix,German Shepherd Mix,Sable,Sable
Adoption,Dog,Neutered Male,5 years,1,Miniature Poodle,Miniature Poodle,White,White
Adoption,Dog,Spayed Female,6 months,1,Pit Bull,Pit Bull,Black,White
Euthanasia,Cat,Intact Male,2 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Transfer,Dog,Spayed Female,2 years,0,Yorkshire Terrier Mix,Yorkshire Terrier Mix,Black,Black
Adoption,Dog,Spayed Female,3 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Buff,Tan
Adoption,Dog,Spayed Female,1 year,0,Australian Cattle Dog Mix,Australian Cattle Dog Mix,Blue Merle,Blue Merle
Transfer,Dog,Intact Female,5 months,0,Dachshund,Labrador Retriever,Brown Brindle,Brown Brindle
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Transfer,Dog,Neutered Male,3 years,0,Cavalier Span,Pekingese,Red,White
Transfer,Cat,Intact Female,2 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Orange Tabby
Adoption,Cat,Spayed Female,2 months,0,Snowshoe Mix,Snowshoe Mix,Seal Point,White
Adoption,Dog,Neutered Male,4 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Brown,Tan
Transfer,Cat,Intact Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,White,White
Transfer,Dog,Neutered Male,8 months,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Tan
Return_to_owner,Dog,Neutered Male,4 years,1,German Shepherd,German Shepherd,Black,Brown
Return_to_owner,Dog,Neutered Male,6 years,0,Australian Shepherd Mix,Australian Shepherd Mix,Blue Merle,White
Adoption,Dog,Spayed Female,2 months,0,Rat Terrier Mix,Rat Terrier Mix,Tricolor,Tricolor
Transfer,Dog,Neutered Male,5 years,0,Lhasa Apso Mix,Lhasa Apso Mix,Black,White
Transfer,Dog,Intact Female,7 months,0,Rat Terrier Mix,Rat Terrier Mix,Tricolor,Tricolor
Adoption,Dog,Spayed Female,5 months,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black,Black
Return_to_owner,Dog,Neutered Male,2 years,0,Cairn Terrier Mix,Cairn Terrier Mix,Buff,Buff
Transfer,Cat,Intact Female,3 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Tortie
Adoption,Dog,Spayed Female,4 months,0,Beagle,Rat Terrier,Tricolor,Tricolor
Transfer,Cat,Intact Male,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Cream Tabby,White
Euthanasia,Dog,Intact Female,1 year,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Tan
Transfer,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Transfer,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Transfer,Cat,Intact Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Return_to_owner,Cat,Neutered Male,3 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Adoption,Dog,Neutered Male,2 years,0,Labrador Retriever,Pit Bull,Chocolate,White
Adoption,Cat,Neutered Male,2 months,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Orange Tabby,White
Adoption,Dog,Neutered Male,3 years,0,Rottweiler Mix,Rottweiler Mix,Black,Brown
Transfer,Dog,Spayed Female,2 years,0,Pit Bull Mix,Pit Bull Mix,Chocolate,White
Adoption,Dog,Neutered Male,8 years,0,Chihuahua Shorthair,Dachshund,Red,Red
Return_to_owner,Cat,Intact Female,2 months,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Orange,White
Adoption,Dog,Neutered Male,3 years,0,Norfolk Terrier Mix,Norfolk Terrier Mix,Red,Tan
Adoption,Dog,Spayed Female,5 months,0,Border Collie Mix,Border Collie Mix,Black,White
Adoption,Dog,Spayed Female,3 years,0,English Bulldog Mix,English Bulldog Mix,Brown Brindle,White
Adoption,Dog,Neutered Male,2 years,0,Miniature Poodle Mix,Miniature Poodle Mix,White,White
Return_to_owner,Dog,Neutered Male,6 years,0,Australian Shepherd Mix,Australian Shepherd Mix,Black,Brown Merle
Return_to_owner,Cat,Spayed Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,White
Adoption,Dog,Spayed Female,1 year,0,Border Collie Mix,Border Collie Mix,Black,White
Adoption,Dog,Neutered Male,5 years,1,Toy Poodle,Toy Poodle,White,White
Transfer,Dog,Neutered Male,2 years,0,Labrador Retriever Mix,Labrador Retriever Mix,Tan,White
Transfer,Cat,Intact Female,1 week,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Calico
Return_to_owner,Dog,Neutered Male,7 years,0,Golden Retriever,Labrador Retriever,Brown,Brown
Adoption,Cat,Neutered Male,4 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,White
Adoption,Dog,Spayed Female,2 years,0,Labrador Retriever Mix,Labrador Retriever Mix,Yellow,Yellow
Adoption,Dog,Spayed Female,8 months,0,Boxer Mix,Boxer Mix,Brown Brindle,White
Transfer,Dog,Intact Female,1 year,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Tan
Transfer,Cat,Intact Female,2 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Transfer,Dog,Intact Female,4 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Fawn,Tan
Transfer,Dog,Neutered Male,2 years,1,Shih Tzu,Shih Tzu,Black,White
Return_to_owner,Dog,Neutered Male,2 years,0,Jack Russell Terrier,Unknown,Brown,White
Return_to_owner,Dog,Neutered Male,2 years,0,Pit Bull Mix,Pit Bull Mix,Black,White
Adoption,Cat,Neutered Male,2 months,0,Maine Coon Mix,Maine Coon Mix,Brown Tabby,Brown Tabby
Adoption,Cat,Spayed Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Return_to_owner,Dog,Spayed Female,4 years,0,Pit Bull Mix,Pit Bull Mix,Tan,White
Died,Dog,Spayed Female,5 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black,Brown
Adoption,Dog,Neutered Male,1 year,0,Miniature Poodle Mix,Miniature Poodle Mix,Black,White
Transfer,Dog,Intact Male,8 years,1,Shih Tzu,Shih Tzu,Brown,White
Transfer,Cat,Intact Male,2 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
